Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
wool-tweed-newsboy-cap-for-men,Wool Tweed Newsboy Cap for Men,<p>Peaky blinder inspired cap for the hipster inside you!</p>,johnvincentio,Hipster hat,Hipster,true,Hat Size,62-63 cm,,,,,36538009-blue-62-63-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194141.jpg?v=1590798406,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,60-61 cm,,,,,36538009-blue-60-61-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,58-59 cm,,,,,36538009-blue-58-59-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,56-57 cm,,,,,36538009-blue-56-57-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
mens-fedora,Men's fedora,Fedoras are back in! Get this straw fedora for men and stand out from the crowd this summer.,johnvincentio,Summer hat,"",true,Color,Khaki,,,,,34088347-khaki-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1264330798.jpg?v=1586080094,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981765.jpg?v=1586080097,lb,,
mens-fedora,,,,,,,,Magnolia,,,,,34088347-magnolia-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981766.jpg?v=1586080096,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981766.jpg?v=1586080096,lb,,
mens-fedora,,,,,,,,Black,,,,,34088347-black-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981765.jpg?v=1586080097,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981763.jpg?v=1586080098,lb,,
mens-fedora,,,,,,,,Gray,,,,,34088347-gray-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981763.jpg?v=1586080098,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981764.jpg?v=1586080104,lb,,
mens-fedora,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981764.jpg?v=1586080104,5,,,,,,,,,,,,,,,,,,,,,
3-part-knitted-wool-cap,3-part Knitted Wool Cap,3 part full face knitted wool cap. Perfect for winter!,johnvincentio,Winter hat,Winter,true,Color,Black,,,,,28986468-black,0.0,shopify,deny,oberlo,5.00,18.26,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651730.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651736.jpg?v=1586080093,lb,,
3-part-knitted-wool-cap,,,,,,,,Beige,,,,,28986468-beige,0.0,shopify,deny,oberlo,18.26,18.26,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651737.jpg?v=1586080092,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651739.jpg?v=1586080093,lb,,
3-part-knitted-wool-cap,,,,,,,,Pink,,,,,28986468-pink,0.0,shopify,deny,oberlo,18.26,18.26,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651741.jpg?v=1586080092,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651737.jpg?v=1586080092,lb,,
3-part-knitted-wool-cap,,,,,,,,Brown,,,,,28986468-brown,0.0,shopify,deny,oberlo,18.26,18.26,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651736.jpg?v=1586080093,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651738.jpg?v=1586080094,lb,,
3-part-knitted-wool-cap,,,,,,,,Burgundy,,,,,28986468-burgundy,0.0,shopify,deny,oberlo,18.26,18.26,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651739.jpg?v=1586080093,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651740.jpg?v=1586080094,lb,,
3-part-knitted-wool-cap,,,,,,,,Navy Blue,,,,,28986468-navy-blue,0.0,shopify,deny,oberlo,18.26,18.26,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651738.jpg?v=1586080094,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651741.jpg?v=1586080092,lb,,
3-part-knitted-wool-cap,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651740.jpg?v=1586080094,7,,,,,,,,,,,,,,,,,,,,,
straw-braided-sunhat,Straw Braided Sunhat,<strong>﻿</strong>﻿Frayed scarecrow style straw sunhat perfect for summer!,johnvincentio,Summer hat,Summer,true,Color,Khaki,,,,,23814709-khaki-one-size,0.0,shopify,deny,oberlo,8.18,8.18,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956770.jpg?v=1586080091,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956776.jpg?v=1586080094,lb,,
straw-braided-sunhat,,,,,,,,Coffee,,,,,23814709-coffee-one-size,0.0,shopify,deny,oberlo,8.18,8.18,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956777.jpg?v=1586080093,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956777.jpg?v=1586080093,lb,,
straw-braided-sunhat,,,,,,,,Beige,,,,,23814709-beige-one-size,0.0,shopify,deny,oberlo,8.18,8.18,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956778.jpg?v=1586080094,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956778.jpg?v=1586080094,lb,,
straw-braided-sunhat,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-903956776.jpg?v=1586080094,4,,,,,,,,,,,,,,,,,,,,,
fedora,Fedora,Look stylish with this wool &amp; cotton fedora. Perfect to keep cool in summer.,johnvincentio,Summer hat,"",true,Color,Red,,,,,35307589-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375841.jpg?v=1586080094,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375850.jpg?v=1586080096,lb,,
fedora,,,,,,,,Yellow,,,,,35307589-yellow,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375849.jpg?v=1586080096,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375855.jpg?v=1586080096,lb,,
fedora,,,,,,,,Purple,,,,,35307589-purple,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375855.jpg?v=1586080096,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375857.jpg?v=1586080097,lb,,
fedora,,,,,,,,Khaki,,,,,35307589-khaki,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375850.jpg?v=1586080096,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375853.jpg?v=1586080100,lb,,
fedora,,,,,,,,Black,,,,,35307589-black,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375857.jpg?v=1586080097,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375848.jpg?v=1586080097,lb,,
fedora,,,,,,,,Camel,,,,,35307589-camel,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375854.jpg?v=1586080097,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375847.jpg?v=1586080098,lb,,
fedora,,,,,,,,Wine Red,,,,,35307589-wine-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375848.jpg?v=1586080097,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375858.jpg?v=1586080098,lb,,
fedora,,,,,,,,Brown,,,,,35307589-brown,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375858.jpg?v=1586080098,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375861.jpg?v=1586080098,lb,,
fedora,,,,,,,,Army Green,,,,,35307589-army-green,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375861.jpg?v=1586080098,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375849.jpg?v=1586080096,lb,,
fedora,,,,,,,,Blue,,,,,35307589-blue,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375847.jpg?v=1586080098,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375854.jpg?v=1586080097,lb,,
fedora,,,,,,,,Pink,,,,,35307589-pink,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375860.jpg?v=1586080099,11,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375856.jpg?v=1586080114,lb,,
fedora,,,,,,,,Dark Gray,,,,,35307589-dark-gray,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375851.jpg?v=1586080099,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375852.jpg?v=1586080100,lb,,
fedora,,,,,,,,Gray,,,,,35307589-gray,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375859.jpg?v=1586080100,13,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375851.jpg?v=1586080099,lb,,
fedora,,,,,,,,Dark Blue,,,,,35307589-dark-blue,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375853.jpg?v=1586080100,14,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375860.jpg?v=1586080099,lb,,
fedora,,,,,,,,Orange Red,,,,,35307589-orange-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375852.jpg?v=1586080100,15,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375859.jpg?v=1586080100,lb,,
fedora,,,,,,,,Rose Red,,,,,35307589-rose-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375862.jpg?v=1586080101,16,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375862.jpg?v=1586080101,lb,,
fedora,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375856.jpg?v=1586080114,17,,,,,,,,,,,,,,,,,,,,,
skull-cap-beanie,Skull Cap Beanie,Polyester skull cap in 5 different styles. Guaranteed to keep you looking stylish in any weather.,johnvincentio,Hipster hat,Hipster,true,Color,Black,,,,,33871285-as-picture-4,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584956.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584965.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,Navy,,,,,33871285-as-picture-3,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584962.jpg?v=1586080092,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584964.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,Burgundy,,,,,33871285-as-picture,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584963.jpg?v=1586080093,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584962.jpg?v=1586080092,lb,,
skull-cap-beanie,,,,,,,,Light gray,,,,,33871285-as-picture-5,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584965.jpg?v=1586080093,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584966.jpg?v=1586080094,lb,,
skull-cap-beanie,,,,,,,,Dark gray,,,,,33871285-as-picture-2,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584964.jpg?v=1586080093,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584963.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584966.jpg?v=1586080094,6,,,,,,,,,,,,,,,,,,,,,
